CustomerID,FirstName,LastName,PhoneNo,Email,Address
80,Johnson,Jr.,885 641 6517,JohnsonJr.@gmail.com,Osubi
81,Caller,Client,886 641 6517,CallerClient@gmail.com,Osubi
82,Kelvino,Collection,887 641 6517,KelvinoCollection@gmail.com,Osubi
83,Benzeal,Benzeal,888 641 6517,BenzealBenzeal@gmail.com,Osubi
84,Emmanuel,Izzy,889 641 6517,EmmanuelIzzy@gmail.com,Osubi
85,Vinnies,Glow,890 641 6517,VinniesGlow@gmail.com,Osubi
86,Nonso,Nonso,891 641 6517,NonsoNonso@gmail.com,Osubi
87,Lavish,Sensations,892 641 6517,LavishSensations@gmail.com,Osubi
88,Micky,Micky,893 641 6517,MickyMicky@gmail.com,Osubi
89,Melvin,Luxury,894 641 6517,MelvinLuxury@gmail.com,Osubi
90,Benjamin,Benjamin,895 641 6517,BenjaminBenjamin@gmail.com,Osubi
91,Peace,Luxury,896 641 6517,PeaceLuxury@gmail.com,Osubi
92,Hood,Client,897 641 6517,HoodClient@gmail.com,Osubi
93,Lora,Pearl,898 641 6517,LoraPearl@gmail.com,Osubi
94,African,Queen,899 641 6517,AfricanQueen@gmail.com,Osubi
95,Juicey,Bags,900 641 6517,JuiceyBags@gmail.com,Osubi
96,Beez,World,901 641 6517,BeezWorld@gmail.com,Osubi
97,Zino,Collection,902 641 6517,ZinoCollection@gmail.com,Osubi
98,Member,Elohor,903 641 6517,MemberElohor@gmail.com,Osubi
99,Runny,World,904 641 6517,RunnyWorld@gmail.com,Osubi
100,Peace,Pearl,905 641 6517,PeacePearl@gmail.com,Osubi
101,Favy,Client,906 641 6517,FavyClient@gmail.com,Osubi
102,Koko,Global,907 641 6517,KokoGlobal@gmail.com,Osubi
103,Clara,Nails,908 641 6517,ClaraNails@gmail.com,Osubi
104,Apparel,Clothing,909 641 6517,ApparelClothing@gmail.com,Okuokoko
105,Great,Great,910 641 6517,GreatGreat@gmail.com,Okuokoko
106,Coochie,Upgrade,911 641 6517,CoochieUpgrade@gmail.com,Okuokoko
107,Miccasual,Miccasual,912 641 6517,MiccasualMiccasual@gmail.com,Okuokoko
108,Ominex,Ominex,913 641 6517,OminexOminex@gmail.com,Okuokoko
109,Patra,Patra,914 641 6517,PatraPatra@gmail.com,Okuokoko
110,Faithy,Faithy,915 641 6517,FaithyFaithy@gmail.com,Okuokoko
111,Niccasual,Niccasual,916 641 6517,NiccasualNiccasual@gmail.com,Okuokoko
112,Sagacious,Sagacious,917 641 6517,SagaciousSagacious@gmail.com,Okuokoko
113,Bon,Hotel,918 641 6517,BonHotel@gmail.com,Okuokoko
114,Potra,Izzy,919 641 6517,PotraIzzy@gmail.com,Okuokoko
115,Dee'S,Hub,920 641 6517,Dee'SHub@gmail.com,Okuokoko
116,Oghene,Komo,921 641 6517,OgheneKomo@gmail.com,Okuokoko
117,Royal,Valley,922 641 6517,RoyalValley@gmail.com,Okuokoko
118,Lux,Ng,923 641 6517,LuxNg@gmail.com,Okuokoko
119,Mr,Edward,924 641 6517,MrEdward@gmail.com,Okuokoko
120,Sophy,Trend,925 641 6517,SophyTrend@gmail.com,Okuokoko
121,Flight,Booking,926 641 6517,FlightBooking@gmail.com,Okuokoko
122,Melvin,Melvin,927 641 6517,MelvinMelvin@gmail.com,Okuokoko
123,Nickey,Nickey,928 641 6517,NickeyNickey@gmail.com,Okuokoko
124,Pearl,Deanty,929 641 6517,PearlDeanty@gmail.com,Okuokoko
125,Msn,Bossu,930 641 6517,MsnBossu@gmail.com,Okuokoko
126,Mrs,Ogbolu,931 641 6517,MrsOgbolu@gmail.com,Okuokoko
127,Hausa,Client,932 641 6517,HausaClient@gmail.com,Okuokoko
128,Emma,Izzy,933 641 6517,EmmaIzzy@gmail.com,Okuokoko
129,Goldy,Empire,934 641 6517,GoldyEmpire@gmail.com,Okuokoko
130,Ese,Gold,935 641 6517,EseGold@gmail.com,Okuokoko
131,Zino,Zino,936 641 6517,ZinoZino@gmail.com,Okuokoko
132,Sonia,Lee,937 641 6517,SoniaLee@gmail.com,Okuokoko
133,Mrs,Pat,938 641 6517,MrsPat@gmail.com,Okuokoko
134,Sweetness,Sweetness,939 641 6517,SweetnessSweetness@gmail.com,Okuokoko
135,Graphic,Designer,940 641 6517,GraphicDesigner@gmail.com,Okuokoko
136,Gloria,Gloria,941 641 6517,GloriaGloria@gmail.com,Okuokoko
137,Anastasia,Anastasia,942 641 6517,AnastasiaAnastasia@gmail.com,Okuokoko
138,Grill,Fries,943 641 6517,GrillFries@gmail.com,Okuokoko
139,Essence,Lit,944 641 6517,EssenceLit@gmail.com,Okuokoko
140,Franca,Sweet,945 641 6517,FrancaSweet@gmail.com,Okuokoko
141,Benny,Benny,946 641 6517,BennyBenny@gmail.com,Okuokoko
142,Sasha,Sasha,947 641 6517,SashaSasha@gmail.com,Okuokoko
143,Angel,Angel,948 641 6517,AngelAngel@gmail.com,Okuokoko
144,Smile,Contact,949 641 6517,SmileContact@gmail.com,Okuokoko
145,Cut,Ese,950 641 6517,CutEse@gmail.com,Okuokoko
146,Event,Planner,951 641 6517,EventPlanner@gmail.com,Okuokoko
147,Gaga,Prints,952 641 6517,GagaPrints@gmail.com,Okuokoko
148,Edward,Esq.,953 641 6517,EdwardEsq.@gmail.com,Okuokoko
149,Gloria,Pretty,954 641 6517,GloriaPretty@gmail.com,Okuokoko
150,Chidinma,Chidinma,955 641 6517,ChidinmaChidinma@gmail.com,Okuokoko
151,Wave,Wave,956 641 6517,WaveWave@gmail.com,Okuokoko
152,Beauty,Cosmetic,957 641 6517,BeautyCosmetic@gmail.com,Okuokoko
153,King,Newteen,958 641 6517,KingNewteen@gmail.com,Okuokoko
154,Icon,Icon,959 641 6517,IconIcon@gmail.com,Okuokoko
155,Style,Blico,960 641 6517,StyleBlico@gmail.com,Okuokoko
156,Addess,Client,961 641 6517,AddessClient@gmail.com,Okuokoko
157,Merit,Merit,962 641 6517,MeritMerit@gmail.com,Okuokoko
158,Anastasia,Client,963 641 6517,AnastasiaClient@gmail.com,Okuokoko
159,Peace,Peace,964 641 6517,PeacePeace@gmail.com,Okuokoko
160,Pearl,Pearl,965 641 6517,PearlPearl@gmail.com,Okuokoko
161,Tamz,Interior,966 641 6517,TamzInterior@gmail.com,Okuokoko
162,Premium,Market,967 641 6517,PremiumMarket@gmail.com,Okuokoko
163,Berry,Luxury,968 641 6517,BerryLuxury@gmail.com,Okuokoko
164,Happiness,Happiness,969 641 6517,HappinessHappiness@gmail.com,Okuokoko
165,Tony,Tony,970 641 6517,TonyTony@gmail.com,Okuokoko
166,Ujevwu,Client,971 641 6517,UjevwuClient@gmail.com,Okuokoko
167,Best,Spa,972 641 6517,BestSpa@gmail.com,Okuokoko
168,Gold,Gold,973 641 6517,GoldGold@gmail.com,Okuokoko
169,Apparea,Clothing,974 641 6517,AppareaClothing@gmail.com,Okuokoko
170,Lora,Empire,975 641 6517,LoraEmpire@gmail.com,Okuokoko
171,Army,Fabric,976 641 6517,ArmyFabric@gmail.com,Okuokoko
172,Queen,Gifted,977 641 6517,QueenGifted@gmail.com,Okuokoko
173,Gifted,Uwen,978 641 6517,GiftedUwen@gmail.com,Okuokoko
174,Lady,Violeteez,979 641 6517,LadyVioleteez@gmail.com,Okuokoko
175,Success,G.,980 641 6517,SuccessG.@gmail.com,Okuokoko
176,Anna,Anna,981 641 6517,AnnaAnna@gmail.com,Okuokoko
177,Efetobore,Efetobore,982 641 6517,EfetoboreEfetobore@gmail.com,Okuokoko
178,Mariam,Bashiru,983 641 6517,MariamBashiru@gmail.com,Okuokoko
179,Janet,Janet,984 641 6517,JanetJanet@gmail.com,Okuokoko
180,Sophy,Sophy,985 641 6517,SophySophy@gmail.com,Okuokoko
181,Anthony,Levi,986 641 6517,AnthonyLevi@gmail.com,Okuokoko
182,Ceo,Ogaga,987 641 6517,CeoOgaga@gmail.com,Okuokoko
183,Tami,Tami,988 641 6517,TamiTami@gmail.com,Okuokoko
184,Marvel,Marvel,989 641 6517,MarvelMarvel@gmail.com,Okuokoko
185,Taremi,Taremi,990 641 6517,TaremiTaremi@gmail.com,Okuokoko
186,Mr,Mayor,991 641 6517,MrMayor@gmail.com,Okuokoko
187,Favianna,Favianna,992 641 6517,FaviannaFavianna@gmail.com,Okuokoko
188,Ola,Friend,993 641 6517,OlaFriend@gmail.com,Okuokoko
189,Tega,Tega,995 641 6517,TegaTega@gmail.com,Okuokoko
190,Queen,Esther,996 641 6517,QueenEsther@gmail.com,Okuokoko
191,Fashionhaulic,Fashionhaulic,997 641 6517,FashionhaulicFashionhaulic@gmail.com,Okuokoko
192,Aparel,Clothing,998 641 6517,AparelClothing@gmail.com,Okuokoko
193,Oreva,Oreva,999 641 6517,OrevaOreva@gmail.com,Okuokoko
194,Ejiro,Sonia,1000 641 6517,EjiroSonia@gmail.com,Okuokoko
195,Stephanie,Stephanie,1001 641 6517,StephanieStephanie@gmail.com,Okuokoko
196,Fast,Guy,1002 641 6517,FastGuy@gmail.com,Okuokoko
197,Saturday,Collection,1003 641 6517,SaturdayCollection@gmail.com,Okuokoko
198,Overa,Store,1004 641 6517,OveraStore@gmail.com,Okuokoko
199,Army,Client,1005 641 6517,ArmyClient@gmail.com,Okuokoko
200,Pearl,Beauworld,1006 641 6517,PearlBeauworld@gmail.com,Okuokoko
201,O,Kitchen,1007 641 6517,OKitchen@gmail.com,Okuokoko
202,Rich,Candy,1008 641 6517,RichCandy@gmail.com,Okuokoko
203,Sophy,Hair,1009 641 6517,SophyHair@gmail.com,Okuokoko
204,Hairgasm,Hairgasm,1010 641 6517,HairgasmHairgasm@gmail.com,Okuokoko
205,Alex,O.,1011 641 6517,AlexO.@gmail.com,Okuokoko
206,Style,Blinco,1012 641 6517,StyleBlinco@gmail.com,Okuokoko
207,Racheal,Racheal,1013 641 6517,RachealRacheal@gmail.com,Okuokoko
208,Sophy,Sophy ~,1014 641 6517,SophySophy ~@gmail.com,Okuokoko
209,Kezzy,Kezzy,1015 641 6517,KezzyKezzy@gmail.com,Okuokoko
210,Gifted,Client,1016 641 6517,GiftedClient@gmail.com,Okuokoko
211,Crystabel,Crystabel,1017 641 6517,CrystabelCrystabel@gmail.com,Okuokoko
212,Greatness,Greatness,1018 641 6517,GreatnessGreatness@gmail.com,Okuokoko
213,Cute,Nice,1019 641 6517,CuteNice@gmail.com,Okuokoko
214,O,Esohe,1020 641 6517,OEsohe@gmail.com,Okuokoko
215,Pepper,Stew,1021 641 6517,PepperStew@gmail.com,Okuokoko
216,Josephine,Josephine,1022 641 6517,JosephineJosephine@gmail.com,Okuokoko
217,Tara,Empire,1023 641 6517,TaraEmpire@gmail.com,Okuokoko
218,Madonna,Madonna,1024 641 6517,MadonnaMadonna@gmail.com,Okuokoko
219,Valentine,Valentine,1025 641 6517,ValentineValentine@gmail.com,Okuokoko
220,Voke,Client,1026 641 6517,VokeClient@gmail.com,Okuokoko
221,Beezhair,World,1027 641 6517,BeezhairWorld@gmail.com,Okuokoko
222,Sosa,Sosa,1028 641 6517,SosaSosa@gmail.com,Okuokoko
223,Jadelle,Jadelle,1029 641 6517,JadelleJadelle@gmail.com,Okuokoko
224,Winnie,Winnie,1030 641 6517,WinnieWinnie@gmail.com,Okuokoko
225,Chidon,Chidon,1031 641 6517,ChidonChidon@gmail.com,Okuokoko
226,Victor,Victor,1032 641 6517,VictorVictor@gmail.com,Okuokoko
227,Enismas,Enismas,1033 641 6517,EnismasEnismas@gmail.com,Okuokoko
228,Moses,Sv,1034 641 6517,MosesSv@gmail.com,Okuokoko
229,Gillian,Client,1035 641 6517,GillianClient@gmail.com,Okuokoko
230,Galad,It,1036 641 6517,GaladIt@gmail.com,Okuokoko
231,Mommy,J,1037 641 6517,MommyJ@gmail.com,Okuokoko
232,Aparel,Clothes,1038 641 6517,AparelClothes@gmail.com,Okuokoko
233,Clara,Client,1039 641 6517,ClaraClient@gmail.com,Okuokoko
234,Igbo,Woman,1040 641 6517,IgboWoman@gmail.com,Okuokoko
235,Belz,Hairline,1041 641 6517,BelzHairline@gmail.com,Okuokoko
236,Tamie,Tamie,1042 641 6517,TamieTamie@gmail.com,Okuokoko
237,Gals,Store,1043 641 6517,GalsStore@gmail.com,Okuokoko
